title,level,language,subtitles,price,n_enrolled
Age of Sustainable Development,Intermediate,English,"English, Português, Русский",49,7911.0
Internationalization: Creating Digital Content for the World,Advanced,English,English,199,23100.0
Multi-Object Tracking for Automotive Systems,Advanced,English,English,249,0.0
Economics and Policies in a Biobased Economy,Advanced,English,English,149,0.0
Strategic Leadership in Healthcare,Intermediate,English,English,199,17941.0
Terrorism and Counterterrorism: An Introduction,Introductory,English,English,49,0.0
Exploring Psychology's Core Concepts|走进心理学,Introductory,English,English,139,0.0
Creating Virtual Reality (VR) Apps,Intermediate,English,English,99,11895.0
Análisis Multivariable en SPSS,Introductory,Español,Español,49,5930.0
Steps in Japanese for Beginners2 Part1,Introductory,English,English,99,10817.0
"Competencias para buscar, mantener y promocionar en un empleo",Introductory,Español,Español,49,0.0
Dynamics and Control,Introductory,English,English,50,34261.0
Finding Your Cybersecurity Career Path,Introductory,English,English,199,41537.0
Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,Introductory,Español,Español,29,6443.0
Mechanics: Rotational Dynamics,Intermediate,English,English,49,28100.0
Applying Health Coaching in Patient Care,Introductory,English,English,199,25893.0
Databases: Modeling and Theory,Introductory,English,English,50,6149.0
"Islamic Banking: Principles, Practice and Risk Management",Introductory,English,English,49,0.0
Liderazgo orientado al florecimiento humano,Introductory,Español,Español,149,10205.0
Software Construction: Object-Oriented Design,Intermediate,English,English,125,15040.0
"Introduction to Hyperledger Sovereign Identity Blockchain Solutions: Indy, Aries & Ursa",Introductory,English,English,199,6480.0
Fondements de l’économie sociale et solidaire,Intermediate,Français,Français,50,9294.0
The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom,Introductory,English,English,50,20355.0
Innovation Strategies for Electric Mobility: The StreetScooter Case,Intermediate,English,English,99,0.0
Sustainable Energy,Advanced,English,English,149,8657.0
Designing and Leading Learning Systems,Advanced,English,English,199,0.0
How the U.S. Government Works & How to Get Involved,Introductory,English,English,49,0.0
Inspiring and Motivating Arts and Culture Teams,Introductory,English,English,49,41902.0
Principles of Microeconomics: An Economist Way of Thinking,Intermediate,English,English,149,0.0
A System View of Communications: From Signals to Packets (Part 1),Introductory,English,English,60,0.0
"Invasions, Rebellions, and the Fall of Imperial China",Introductory,English,"English, 中文",139,11246.0
AP® English Literature & Composition – Part 3: Plays,Introductory,English,English,49,8775.0
Cómo implantar grupos de mejora de procesos,Introductory,Español,Español,150,0.0
Proteins: Biology's Workforce,Intermediate,English,English,169,0.0
Introducción a los ritmos y relojes biológicos,Introductory,Español,"English, Español",50,0.0
Linear Algebra I: Linear Equations,Intermediate,English,English,199,0.0
"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",Advanced,English,English,169,0.0
Fundamentos de Electromagnetismo para Ingeniería,Introductory,Español,Español,49,0.0
Sustainable Food Systems: A Mediterranean Perspective,Intermediate,English,"English, Français, Italiano",49,0.0
Using GPUs to Scale and Speed-up Deep Learning,Intermediate,English,English,99,0.0
StudioX: Creating a Course with edX Studio,Introductory,English,English,99,0.0
The Power of Data,Introductory,English,English,49,0.0
Introducción a las ondas gravitacionales,Introductory,Español,"English, Español",50,0.0
Drones and Autonomous Systems 2: Applications in Emergency Management,Intermediate,English,English,149,0.0
MathTrackX: Differential Calculus,Introductory,English,English,79,0.0
Global China: From the Mongols to the Ming,Introductory,English,"English, 中文",139,0.0
Leaders in Citizen Security and Justice Management for the Caribbean,Intermediate,English,English,25,0.0
Pattern Studying and Making | 图案审美与创作,Introductory,中文,"English, 中文",139,0.0
Computational Neuroscience: Neuronal Dynamics of Cognition,Advanced,English,English,139,0.0
Cities and the Challenge of Sustainable Development,Introductory,English,English,25,0.0
MathTrackX: Special Functions,Introductory,English,English,79,0.0
